code,description,fee
0349U,Rx metab/pcx dna 27gen rx ia,742.27
0350U,Rx metab/pcx dna 27 gen alys,1336.09
0351U,Nfct ds bct/viral trail ip10,260.5
0355U,Apol1 risk variants,137.0
0356U,Onc orop/anal 17 dna ddpcr,1800.0
0358U,Neuro alys b-amyl 1-42&1-40,260.5
0359U,Onc prst8 ca alys all psa,760.0
0360U,Onc lung elisa 7 autoant alg,840.65
0362U,Onc pap thyr ca rna 82&10,3600.0
0363U,Onc urthl mrna 5 gen alg,760.0
0364U,Onc hl neo gen seq alys alg,2007.25
0365U,Onc bldr 10 ur hrbr urthl ca,897.0
0366U,Onc bldr 10 prb recr bldr ca,897.0
0367U,Onc bldr 10 flwg trurl rescj,902.18
0368U,Onc clrct ca mut&mthyltn mrk,416.78
0371U,Iadna gu pthgn semiq dna16&1,416.78
0372U,Nfct ds gu pthgn arg detcj,416.78
0375U,Onc ovrn bchm asy 7 prtn alg,897.0
0376U,Onc prst8 ca img alys 128,706.25
0377U,Cv ds quan advsrm/plsm lprtn,47.58
0378U,Rfc1 repeat xpnsj vrnt alys,137.0
0379U,Tgsap sl or neo dna523&rna55,3288.51
0381U,Maple syrup ur ds mntr quan,44.12
0382U,Hyprphenylalninmia mntr quan,51.64
0383U,Tyrosinemia typ i mntr quan,52.05
0384U,Neph ckd rsk hi stg kdn ds,750.0
0385U,Neph ckd alg rsk dbtc kdn ds,390.75
0387U,Onc mlnma ambra1&amlo,948.5
0388U,Onc nonsm cll lng ca 37 gen,3500.0
0389U,Ped fbrl kd ifi27&mcemp1 rna,70.2
0390U,Ob pe kdr eng&rbp4 ia alg,64.41
0391U,Onc sld tum dna&rna 437 gen,3600.0
0392U,Rx metab genrx ia 16 genes,1336.09
0393U,Neu prksn msfl a-syncln prtn,540.99
0394U,Pfas 16 pfas compnd lc ms/ms,198.74
0395U,Onc lng multiomics plsm alg,797.45
0398U,Gi baret esph dna mthyln aly,1755.0
0399U,Neuro cere folate defncy srm,300.0
0400U,Ob xpnd car scr 145 genes,1456.88
0401U,Crd c hrt ds 9 gen 12 vrnts,489.68
0402U,Nfct agt sti mult amp prb tq,142.63
0403U,Onc prst8 mrna 18 gen 1st ur,760.0
0404U,Onc brst semiq meas thym kn,322.96
0405U,Onc pncrtc 59 mthltn blk mrk,1770.48
0406U,Onc lung flow cytmtry 5 mrk,760.0
0407U,Neph dbtc ckd mult eclia alg,950.0
0408U,Iaad blk ac wv bsnsr sarscv2,14.13
0409U,Onc sld tum dna 80 & rna 36,2919.6
0410U,Onc pncrtc dna whl gn seq 5-,1160.0
0411U,Psyc genom alys pnl 15 gen,1336.09
0412U,Beta amyloid ab42/40 imprcip,750.0
0413U,Onc hl neo opt gen mapg dna,1263.53
0414U,Onc lng aug alg aly whl sld8,706.25
0415U,Cv ds acs bld alg 5 yr score,390.75
0417U,Rare ds alys 335 nuc genes,2842.53
0418U,Onc brst aug alg aly whl sl8,706.25
0419U,Nrpsyc gen seq vrnt aly 13,1336.09
0420U,Onc urthl mrna xprsn 6 snp,1328.32
0421U,Onc clrct scr sgl amp 8 rna,508.87
0422U,Onc pan solid tum alys dna,1943.21
0423U,Psyc genomic alys pnl 26 gen,416.78
0424U,Onc prst8 xom alys 53 sncrna,760.0
0425U,Genom rpd seq alys ea cmprtr,4094.39
0426U,Genome ultra-rapid seq alys,7582.2
0427U,Monocyte dstrbj wdth whl bld,4.48
0429U,Hpv orop swab 14 hi-risk typ,35.09
0430U,Gi malabs aat calpro pncrtc,61.54
0431U,Gly rcptr alpha1 igg srm/csf,36.57
0432U,Klhl11 antb sr/csf asy qual,36.57
0433U,Onc prst8 5 dna reg mrk pcr,760.0
0434U,Rx metab advrs vrnt alys 25,416.78
0435U,Onc chemo rx cytox csc 14 rx,3033.86
0436U,Onc lng plsm alys 388 prtn,1504.24
0437U,Psyc anxiety do mrna 15 bmrk,760.0
0438U,Rx metab advrs vrnt alys 33,416.78
0439U,Crd chd dna alys 5 snp 3 dna,854.0
0440U,Crd chd dna alys 10 snp 6dna,854.0
0441U,Nfct ds bct fngl/viral semiq,444.08
0442U,Nfct ds respir nfctj mxa&crp,41.38
0443U,Neurflmnt lt chn ultrsens ia,116.23
0444U,Onc sld orgn neo tgsap 361,2919.6
0445U,Abeta42 & ptau181 eclia csf,260.5
0446T,Insj impltbl glucose sensor,6351.64
0446U,Ai ds sle alys 10 cytokine,840.65
0447T,Rmvl impltbl glucose sensor,101.37
0447U,Ai ds sle alys 11 cytokine,840.65
0448T,Remvl insj impltbl gluc sens,6250.6
0449U,Car scr sev inh cond 5 genes,1824.88
0452U,Onc bldr mthyl penk lte-qmsp,192.0
0453U,Onc clrct ca cfdna qpcr asy,192.0
0454U,Rare ds id opt genome mapg,1263.53
0455U,Nfct agt sti mult amp prb ur,142.63
0457U,Pfas 9 cmpnd lcms/ms pls/sr,198.74
0458U,Onc brst ca s100 a8&a9 elisa,260.5
0459U,Abeta42 & ttau eclia csf,260.5
0460U,Onc whl bld/bucc rtpcr 24gen,917.08
0461U,Onc rxgenom alys rtpcr 24gen,917.08
0462U,Melatonin lvl tst slp std7/9,17.27
0463U,Onc crvx mrna genxprsn 14bmk,760.0
0464U,Onc clrct scr qrtsa dna mrk,591.92
0465U,Onc urthl carc dna qmsp 2gen,1938.01
0466U,Crd cad dna gwas 564856 snp,345.43
0467U,Onc bldr dna ngs 60gen&aneup,1519.06
0468U,Hep nash mir34a5p a2m ykl40,251.7
0469U,Rare ds whl gen seq ftl samp,1197.94
0470U,Onc orop detcj mrd 8 dna hpv,597.91
0471U,Onc clrc ca 35 vrn kras&nras,760.0
0472U,Ca vi psp&sp1 antb sjogren,27.9
0473U,Onc sld tum bld/slv 648 gene,4500.0
0474U,Hered pan ca gsap 88gene ngs,1303.95
0475U,Hered prst8 ca gsap 23 genes,1303.95
0476U,Rx metab psyc 14gen&cyp2d6,416.78
0477U,Rx metab psy 14&cyp2d6 gn-rx,416.78
0478U,Onc nsclc dna&rna dpcr 9gens,552.99
0479U,Tau phosphorylated ptau217,17.27
0480U,Nfct ds csf metag ngs alys,2126.2
0481U,Idh1 idh2&tert promoter ngs,674.24
0482U,Ob pe biochem asy sflt1&plgf,128.82
0483U,Nfct ds ng gyra s91f pt mut,35.09
0484U,Nfct ds mgen 23s rrna pt mut,35.09
0485U,Onc sol tum cfdna&rna ngs gm,3649.48
0486U,Onc pan sol tum ngs cfctdna,1644.25
0487U,Onc sol tum cfcdna tgsap 84,2919.6
0488U,Ob fetal ag nipt cfdna alys,759.05
0489U,Ob sgnipt cfdna seq alys 1+,1153.62
0490U,Onc cutan/uveal mlnma cd146,2435.0
0491U,Onc sol tum ctc slct er prtn,2435.0
0492U,Onc sol tum ctc slctn pd-l1,2435.0
0493U,Trnspl med quan dd-cfdna ngs,2753.25
0494U,Rbc ag ftl rhd gene alys ngs,759.05
0495U,Onc prst8 alys crcg plsm prt,760.0
0496U,Onc clrct cfdna 8/7 genes,485.86
0497U,Onc prst8 mrna rt-pcr 6genes,3873.0
0498U,Onc clrct ngs mut detc 43gen,1345.31
0499U,Onc clrct&lng dna ngs 8genes,597.91
0500U,Autoinflam ds vexas synd dna,175.4
0501U,Onc clrc bld quan meas cfdna,192.0
0502U,Hpv e6/e7 mrk hi-rsk typ crv,35.09
0503U,Neuro alz ds bamyl&tau prtn,750.0
0504U,Nfct ds uti id 17 path orgs,416.78
0505U,Nfct ds vag infctj id 32orgs,679.77
0506U,Gi barretts esophgl cell 89,1938.01
0507U,Onc ovr dna whole gen w/5hmc,1160.0
0509T,Pattern erg w/i&r,78.21
0510U,Onc pncrtc ca alg alys 16gen,473.91
0511U,Onc sol tum 3dmicroenvir 36+,3033.86
0512U,Onc prst8 alys dgtz img msi,706.25
0513U,Onc prst8 alg alys msi&hrd,706.25
0514U,Gi ibd ia quan deter adl lvl,38.57
0515U,Gi ibd ia quan deter ifx lvl,38.57
0516U,Rx metab rxgenomic gnotyp 40,416.78
0517U,Ther rx mntr 80+ psyactiv rx,246.92
0518U,Ther rx mntr 90+ pn&mtl hlth,246.92
0519U,Ther rx mntr meds p/d/a 110+,246.92
0520U,Ther rx mntr 200+ rx/sbsts,246.92
0521U,Rf iga&igm ccp antb sr-a ia,51.8
0522U,Ca vi psp&sp1 antb cl semiql,260.5
0523U,Onc soltum dna ngs snv 22gen,1352.09
0524U,Ob pe sflt-1/plgf ia srm/pls,128.82
0525U,Onc sphrd cell cul 11-rx pnl,3033.86
0527U,Hsv 1&2 vzv amp prb tq pthgn,142.63
0528U,Lrt iad 18bct/8vir&7arg rna,634.84
0530U,Onc pan-sol tum ctdna 77 gen,2919.6
0532U,Rare ds whlgen&mitochdrl dna,5031.2
0533U,Rx metab advrs gnotyp 16gens,416.78
0535U,Pfas lc-ms/ms plsm/srm quan,62.14
0536U,Rbcag ftl rhd pcr alys exon4,192.0
0537U,Onc clrct ca cfdna >2500 dmr,1495.0
0538U,Onc sol tum ngts ffpe 600gen,2989.55
0539U,Onc sol tumor cfctdna 152gen,3288.51
0540U,Trnsplj med quan dd-cfdna,2753.25
0543U,Onc sol tum ngs dna 517 gens,2989.55
0545U,Achr antb id imfluor livecll,37.73
0546U,Ldns lrp4 antb imflr livecll,37.73
0547U,Neurflmnt lt chn cleia plsm,116.23
0548U,Gfap cleia plasma,116.23
0549U,Onc urthl dna mthyltd rt pcr,760.0
0553U,Repr med pga embry te strux,759.05
0554U,Repr med pga 24chrm te bx qc,759.05
0555U,Repr med pga embryonic te qc,759.05
0556U,Nfct ds p-s dna&rna 12 trgts,142.63
0557U,Nfct ds bv dna mrk vag fluid,262.99
0558U,Onc clrct elisa bf7 ag serum,20.81
0559U,Onc brs quan elisa bf9ag srm,20.81
0560U,Onc mrd gsa cfdna baseline,3878.45
0561U,Onc mrd gsa cfdna subsequent,794.49
0562U,Onc sol tum tgsa 33gens snvs,597.91
0563U,Nfct ds pthgn-sna 11vir&4bct,416.78
0564U,Nfct ds pthgn-sna 10vir&4bct,416.78
0565U,Onc hcc ngs detc 6626epigalt,1160.0
0566U,Onc lng qpcr-bsd alys 13dmrs,416.78
0567U,Rare ds whl gen seq srs&lrs,5031.2
0568U,Neurol dementia bamyl ptau,897.0
0570U,Neurol tbi alys gfap&uch-l1,260.5
0571U,Onc sol tum dna80&rna10g ngs,2919.6
0575U,Trnsplj med lar rtpcr 4genes,380.0
0576U,Trnsplj med lar quan ddcfdna,3240.0
0577U,Onc ovr serum alys 39 gps,246.92
0578U,Onc cutan mln rna qpcr 10gen,3873.0
0579U,Nfro dbtc ckd elisa apoa4,390.75
0580U,Bbrgdrferi antb detc 24rprtn,17.21
0581U,Trnspl med antb nohla 39trgt,325.8
0582U,Rare ds rpd whlgen dna vrnts,7582.2
0583T,Tmpst auto tube dlvr sys,1512.55
0583U,Rare ds rpd whlgen cmptr dna,3791.1
0584U,Neuro csf prion prtn qual,540.99
0585U,Tgsap so neo cfdna 521 genes,2919.6
0586U,Onc mrna gen xprsn 216 genes,2919.6
0587U,Ther rx mntr 60150rx&metabl,114.43
0588U,Nfct ds bct/vir 32genes mrna,760.0
0589U,Pfas24cmpnd hiperf lc-ms/ms,198.74
0591U,Onc prst8 ca 3prtns plsm srm,760.0
0592U,Onc hl neo dna tgs 417 genes,2919.6
0593U,Nfct ds gu pthgn dna 46trgt,634.84
0595U,Nfct ds tfp vctrbrn&zoonotic,262.99
0596T,Temp fml iu vlv-pmp 1st insj,2029.16
0597T,Temp fml iu valve-pmp rplcmt,599.52
0598U,Gi ibs igg antb 18food items,300.0
0599U,Onc pncrtc ca mult ia serum,897.0
0605T,Rem oct rta techl sprt min 8,762.32
10004,Fna bx w/o img gdn ea addl,53.37
10005,Fna bx w/us gdn 1st les,132.93
10006,Fna bx w/us gdn ea addl,60.42
10007,Fna bx w/fluor gdn 1st les,346.08
10008,Fna bx w/fluor gdn ea addl,141.99
10009,Fna bx w/ct gdn 1st les,414.56
10010,Fna bx w/ct gdn ea addl,236.32
10021,Fna bx w/o img gdn 1st les,101.37
10030,Img gid flu coll drg sft tis,624.02
10035,Plmt sft tiss loclzj dev 1st,347.09
10036,Plmt sft tiss loclzj dev ea,292.04
10040,Extraction,113.79
10060,I&d abscess simple/single,129.23
10061,I&d abscess comp/multiple,221.21
10080,I&d pilonidal cyst simple,270.89
10081,I&d pilonidal cyst comp,382.0
10120,Inc&rmvl fb subq tiss smpl,158.1
10121,Inc&rmvl fb subq tiss comp,276.6
10140,I&d hmtma seroma/fluid collj,175.22
10160,Pnxr aspir absc hmtma bulla,132.26
10180,I&d complex po wound infctj,289.69
11000,Dbrdmt ecz/infected skin<10%,59.41
11001,Dbrdmt ecz/infct skn ea addl,27.19
11004,Dbrdmt skin xtrnl gent&per,507.2
11005,Dbrdmt skin abdominal wall,696.19
11006,Dbrdmt skin xtrnl gent per,627.04
11008,Rmv prstc mtrl/mesh abd wall,245.71
11010,Debride skin at fx site,471.62
11011,Debride skin musc at fx site,540.44
11012,Deb skin bone at fx site,690.15
11042,Dbrdmt subq tis 1st 20sqcm/<,133.26
11043,Dbrdmt musc&/fsca 1st 20/<,240.68
11044,Dbrdmt bone 1st 20 sq cm/<,322.25
11045,Dbrdmt subq tiss each addl,41.96
11046,Dbrdmt musc&/fsca ea addl,76.87
11047,Dbrdmt bone each addl,129.23
11102,Tangntl bx skin single les,96.0
11103,Tangntl bx skin ea sep/addl,49.01
11104,Punch bx skin single lesion,121.85
11105,Punch bx skin ea sep/addl,60.76
11106,Incal bx skn single les,152.06
11107,Incal bx skn ea sep/addl,71.16
11200,Rmvl skin tags up to&inc 15,92.65
11201,Rmvl skin tags ea addl 10,18.46
11300,Shave skin lesion 0.5 cm/<,97.01
11301,Shave skin lesion 0.6-1.0 cm,116.81
11302,Shave skin lesion 1.1-2.0 cm,132.26
11303,Shave skin lesion >2.0 cm,148.03
11305,Shave skin lesion 0.5 cm/<,101.71
11306,Shave skin lesion 0.6-1.0 cm,118.49
11307,Shave skin lesion 1.1-2.0 cm,132.93
11308,Shave skin lesion >2.0 cm,141.32
11310,Shave skin lesion 0.5 cm/<,112.12
11311,Shave skin lesion 0.6-1.0 cm,132.93
11312,Shave skin lesion 1.1-2.0 cm,151.39
11313,Shave skin lesion >2.0 cm,177.57
11400,Exc tr-ext b9+marg 0.5 cm<,128.56
11401,Exc tr-ext b9+marg 0.6-1 cm,155.75
11402,Exc tr-ext b9+marg 1.1-2 cm,171.87
11403,Exc tr-ext b9+marg 2.1-3cm,200.73
11404,Exc tr-ext b9+marg 3.1-4 cm,232.29
11406,Exc tr-ext b9+marg >4.0 cm,335.34
11420,Exc h-f-nk-sp b9+marg 0.5/<,125.54
11421,Exc h-f-nk-sp b9+marg 0.6-1,160.12
11422,Exc h-f-nk-sp b9+marg 1.1-2,180.59
11423,Exc h-f-nk-sp b9+marg 2.1-3,209.8
11424,Exc h-f-nk-sp b9+marg 3.1-4,245.04
11426,Exc h-f-nk-sp b9+marg >4 cm,341.72
11440,Exc face-mm b9+marg 0.5 cm/<,142.66
11441,Exc face-mm b9+marg 0.6-1 cm,174.55
11442,Exc face-mm b9+marg 1.1-2 cm,195.03
11443,Exc face-mm b9+marg 2.1-3 cm,231.28
11444,Exc face-mm b9+marg 3.1-4 cm,289.69
11446,Exc face-mm b9+marg >4 cm,400.46
11450,Exc skn hdrdnt ax smpl/ntrm,463.57
11451,Exc skn hdrdnt ax complex,577.03
11462,Exc skn hdrdnt ing smpl/ntrm,451.82
11463,Exc skn hdrdnt ing complex,577.03
11470,Exc skn h/p/p/u smpl/ntrm,503.85
11471,Exc skn h/p/p/u complex,588.44
11600,Exc tr-ext mal+marg 0.5 cm/<,199.39
11601,Exc tr-ext mal+marg 0.6-1 cm,228.26
11602,Exc tr-ext mal+marg 1.1-2 cm,241.69
11603,Exc tr-ext mal+marg 2.1-3 cm,277.6
11604,Exc tr-ext mal+marg 3.1-4 cm,312.51
11606,Exc tr-ext mal+marg >4 cm,465.92
11620,Exc h-f-nk-sp mal+marg 0.5/<,199.73
11621,Exc s/n/h/f/g mal+mrg 0.6-1,229.6
11622,Exc s/n/h/f/g mal+mrg 1.1-2,251.08
11623,Exc s/n/h/f/g mal+mrg 2.1-3,296.74
11624,Exc s/n/h/f/g mal+mrg 3.1-4,341.05
11626,Exc s/n/h/f/g mal+mrg >4 cm,421.27
11640,Exc f/e/e/n/l mal+mrg 0.5cm<,203.42
11641,Exc f/e/e/n/l mal+mrg 0.6-1,238.33
11642,Exc f/e/e/n/l mal+mrg 1.1-2,268.2
11643,Exc f/e/e/n/l mal+mrg 2.1-3,317.55
11644,Exc f/e/e/n/l mal+mrg 3.1-4,394.75
11646,Exc f/e/e/n/l mal+mrg >4 cm,517.95
11720,Debride nail 1-5,32.9
11721,Debride nail 6 or more,45.32
11730,Avulsion nail plate simple 1,112.12
11732,Avlsn nail plate simple each,32.56
11740,Evacuation subungual hmtma,57.74
11750,Excision nail&nail matrix,158.44
11755,Biopsy nail unit,120.17
11760,Repair of nail bed,187.64
11762,Reconstruction of nail bed,295.73
11765,Wedge excision skn nail fold,163.81
11770,Exc pilonidal cyst simple,392.07
11771,Exc pilonidal cyst xtnsv,695.85
11772,Exc pilonidal cyst comp,851.61
11900,Inject skin lesions </w 7,57.06
11901,Inject skin lesions >7,69.15
11960,Insert tissue expander(s),952.98
11970,Rplcmt tiss xpndr perm implt,519.96
11971,Rmvl tis xpndr wo insj implt,518.28
11980,Implant hormone pellet(s),97.01
11981,Insertion drug dlvr implant,108.09
11982,Remove drug implant device,115.14
11983,Remove/insert drug implant,145.35
12001,Rpr s/n/ax/gen/trnk 2.5cm/<,114.47
12002,Rpr s/n/ax/gen/trnk2.6-7.5cm,139.98
12004,Rpr s/n/ax/gen/trk7.6-12.5cm,162.8
12005,Rpr s/n/a/gen/trk12.6-20.0cm,212.15
12006,Rpr s/n/a/gen/trk20.1-30.0cm,241.35
12007,Rpr s/n/ax/gen/trnk >30.0 cm,257.13
12011,Rpr f/e/e/n/l/m 2.5 cm/<,140.31
12013,Rpr f/e/e/n/l/m 2.6-5.0 cm,146.35
12014,Rpr f/e/e/n/l/m 5.1-7.5 cm,173.21
12015,Rpr f/e/e/n/l/m 7.6-12.5 cm,211.81
12016,Rpr fe/e/en/l/m 12.6-20.0 cm,268.88
12017,Rpr fe/e/en/l/m 20.1-30.0 cm,155.08
12018,Rpr f/e/e/n/l/m >30.0 cm,174.89
12020,Tx supfc wnd dehsn smpl clsr,318.22
12021,Tx supfc wnd dehsn w/packing,186.64
12031,Intmd rpr s/a/t/ext 2.5 cm/<,261.16
12032,Intmd rpr s/a/t/ext 2.6-7.5,301.44
12034,Intmd rpr s/tr/ext 7.6-12.5,336.35
12035,Intmd rpr s/a/t/ext 12.6-20,416.24
12036,Intmd rpr s/a/t/ext 20.1-30,482.36
12037,Intmd rpr s/tr/ext >30.0 cm,538.76
12041,Intmd rpr n-hf/genit 2.5cm/<,264.18
12042,Intmd rpr n-hf/genit2.6-7.5,306.47
12044,Intmd rpr n-hf/genit7.6-12.5,390.05
12045,Intmd rpr n-hf/genit12.6-20,455.85
12046,Intmd rpr n-hf/genit20.1-30,559.91
12047,Intmd rpr n-hf/genit >30.0cm,613.28
12051,Intmd rpr face/mm 2.5 cm/<,284.32
12052,Intmd rpr face/mm 2.6-5.0 cm,313.52
12053,Intmd rpr face/mm 5.1-7.5 cm,362.86
12054,Intmd rpr face/mm 7.6-12.5cm,393.41
12055,Intmd rpr face/mm 12.6-20 cm,548.49
12056,Intmd rpr face/mm 20.1-30.0,626.71
12057,Intmd rpr face/mm >30.0 cm,651.88
13100,Cmplx rpr trunk 1.1-2.5 cm,339.7
13101,Cmplx rpr trunk 2.6-7.5 cm,392.4
13102,Cmplx rpr trunk addl 5cm/<,120.84
13120,Cmplx rpr s/a/l 1.1-2.5 cm,352.79
13121,Cmplx rpr s/a/l 2.6-7.5 cm,419.93
13122,Cmplx rpr s/a/l addl 5 cm/>,128.9
13131,Cmplx rpr f/c/c/m/n/ax/g/h/f,386.36
13132,Cmplx rpr f/c/c/m/n/ax/g/h/f,464.57
13133,Cmplx rpr f/c/c/m/n/ax/g/h/f,168.84
13151,Cmplx rpr e/n/e/l 1.1-2.5 cm,421.27
13152,Cmplx rpr e/n/e/l 2.6-7.5 cm,493.11
13153,Cmplx rpr e/n/e/l addl 5cm/<,189.99
13160,Sec clsr surg wnd/dehsn xtn,744.53
14000,Tis trnfr trunk 10 sq cm/<,670.68
14001,Tis trnfr trunk 10.1-30sqcm,862.01
14020,Tis trnfr s/a/l 10 sq cm/<,721.03
14021,Tis trnfr s/a/l 10.1-30 sqcm,887.19
14040,Tis trnfr f/c/c/m/n/a/g/h/f,771.05
14041,Tis trnfr f/c/c/m/n/a/g/h/f,930.83
14060,Tis trnfr e/n/e/l 10 sq cm/<,775.74
14061,Tis trnfr e/n/e/l10.1-30sqcm,1003.0
14301,Tis trnfr any 30.1-60 sq cm,1125.85
14302,Tis trnfr addl 30 sq cm,223.22
14350,Filleted finger/toe flap,617.98
15002,Wound prep trk/arm/leg,364.88
15003,Wound prep addl 100 cm,75.19
15004,Wound prep f/n/hf/g,406.5
15005,Wnd prep f/n/hf/g addl cm,125.21
15040,Harvest cultured skin graft,274.92
15050,Pinch graft up to 2 cm diam,608.91
15100,Splt agrft t/a/l 1st 100sqcm,927.13
15101,Splt agrft t/a/l ea addl 100,202.41
15110,Epidrm agrft t/a/l 1st 100,904.31
15111,Epidrm agrft t/a/l ea addl,122.19
15115,Epdrm agrft f/s/n/h/f/g/m 1,867.05
15116,Epdrm agrft f/s/n/h/f/g/m ea,165.49
15120,Splt agrft f/s/n/h/f/g/m 1st,878.46
15121,Splt agrft f/s/n/h/f/g/m ea,222.22
15130,Drm agrft t/a/l 1st 100 sqcm,775.07
15131,Drm agrft t/a/l ea addl,103.72
15135,Drm agrft f/s/n/h/f/g/m 1st,905.99
15136,Drm agrft f/s/n/h/f/g/m ea,102.05
15150,Tis cltr skn agrft t/a/l 1st,767.35
15151,Tis cltr skn agrft t/a/l add,125.88
15152,Tis cltr skn agrft t/a/l ea,155.08
15155,Tis cltr agrft f/s/n/h/f/g 1,852.61
15156,Tis clt agrft f/s/n/h/f/g ad,169.52
15157,Tis clt agrft f/s/n/h/f/g ea,189.99
15200,Fth/gft fr trnk 20 sq cm/<,880.14
15201,Fth/gft fr trnk each addl,149.04
15220,Fth/gft fr s/a/l 20 sq cm/<,786.82
15221,Fth/gft fr s/a/l each addl,134.61
15240,Fth/gft f/c/c/m/n/ax/g/h/f20,942.24
15241,Fth/gft f/c/c/m/n/a/g/h/f ea,180.59
15260,Fth/gft fr n/e/e/l 20 sqcm/<,1006.02
15261,Fth/gft fr n/e/e/l each addl,208.79
15271,Skin sub graft trnk/arm/leg,158.77
15272,Skin sub graft t/a/l add-on,25.85
15273,Skin sub grft t/arm/lg child,323.59
15274,Skn sub grft t/a/l child add,87.28
15275,Skin sub graft face/nk/hf/g,161.12
15276,Skin sub graft f/n/hf/g addl,33.9
15277,Skn sub grft f/n/hf/g child,362.86
15278,Skn sub grft f/n/hf/g ch add,101.71
15570,Skin pedicle flap trunk,986.21
15572,Skin pedicle flap arms/legs,939.22
15574,Pedcle fh/ch/ch/m/n/ax/g/h/f,879.8
15576,Pedicle e/n/e/l/ntroral,798.57
15600,Delay flap trunk,375.28
15610,Delay flap arms/legs,393.41
15620,Delay flap f/c/c/n/ax/g/h/f,465.92
15630,Delay flap eye/nos/ear/lip,472.29
15650,Transfer skin pedicle flap,592.47
15730,Mdfc flap w/prsrv vasc pedcl,1447.77
15731,Forehead flap w/vasc pedicle,1154.05
15733,Musc myoq/fscq flp h&n pedcl,912.7
15734,Muscle-skin graft trunk,1393.72
15736,Muscle-skin graft arm,1116.79
15738,Muscle-skin graft leg,1154.05
15740,Island pedicle flap graft,1054.69
15750,Neurovascular pedicle flap,843.89
15756,Free myo/skin flap microvasc,1971.75
15757,Free skin flap microvasc,1955.31
15758,Free fascial flap microvasc,1950.94
15760,Composite skin graft,861.68
15769,Grfg autol soft tiss dir exc,456.85
15770,Derma-fat-fascia graft,609.25
15771,Grfg autol fat lipo 50 cc/<,665.98
15772,Grfg autol fat lipo ea addl,206.78
15773,Grfg autol fat lipo 25 cc/<,629.39
15774,Gfrg autol fat lipo ea addl,201.74
15777,Acellular derm matrix implt,225.24
15778,Impl absrb msh/prsth dly cls,355.14
15780,Dermabrasion total face,832.14
15781,Dermabrasion segmental face,522.98
15782,Dermabrasion other than face,478.0
15783,Dermabrasion suprfl any site,443.76
15786,Abrasion lesion single,233.29
15787,Abrasion lesions add-on,31.55
15793,Chemical peel nonfacial drm,472.97
15820,Blepharoplasty lower eyelid,591.12
15821,Blepharp lwr eyelid fat pad,637.45
15822,Blepharoplasty upper eyelid,473.97
15823,Blepharp upr eyelid xcsv skn,636.1
15832,Exc excessive skin thigh,846.57
15833,Exc excessive skin leg,801.93
15834,Exc excessive skin hip,815.69
15835,Exc excessive skin buttock,848.92
15836,Exc excessive skin arm,732.44
15837,Exc excsv skin forearm/hand,941.9
15838,Exc excsv submental fat pad,602.87
15839,Exc excessive skn other area,963.72
15840,Nerve palsy fascial graft,890.88
15841,Nerve palsy muscle graft,1588.75
15842,Nerve palsy microsurg graft,2375.57
15845,Skin and muscle repair face,972.45
15851,Removal sutr/staple req anes,58.74
15852,Dressing change not for burn,38.94
15853,Removal sutr/stapl xreq anes,13.43
15854,Removal sutr&stapl xreq anes,17.79
15860,Iv njx tst vasc flo flap/grf,93.65
15920,Exc coccygl pr ulc prim sutr,631.4
15922,Exc coccygl pr ulc flap clsr,734.79
15931,Exc sacral pr ulc prim sutr,676.72
15933,Exc sac pr ulc prim str ostc,827.1
15934,Exc sacral pr ulc skn flap,892.9
15935,Exc sac pr ulc skn flp ostc,1050.33
15936,Exc sac pr ulc prep mus flap,842.21
15937,Exc sac pr ulc prep mus ostc,924.11
15940,Exc ischial pr ulc prim sutr,667.66
15941,Exc isch pr ulc prm sut ostc,870.41
15944,Exc isch pr ulc skn flp clsr,855.3
15945,Exc isch pr ulc skn flp ostc,931.5
15946,Exc isch pr ulc prep mus flp,1467.91
